PC_name,VR_number,eye,gamma_correction,repetition,input_intensity,measurement_time,illuminance_lux,X,Z,a_opic_iprgc,a_opic_l_cone,a_m_cone,a_s_cone,a_opic_rods,spectrum
RGMS-VR03,5,right,True,1,0.0,31.8628967,0.00795522639935215,0.019813668784264462,0.036824474656879894,0.009095179711018505,0.009617754440340505,0.0056959777679316875,0.04163311618808683,0.00704588207280688,"[0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 2.5664e-07 3.4087e-06 4.1914e-06 1.9352e-06 3.7171e-06 6.1934e-06
 5.4636e-06 3.6296e-06 5.7549e-07 3.3146e-06 6.5000e-06 5.1297e-06
 3.0902e-06 4.1058e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 4.2615e-08 2.2872e-07 1.9988e-07 1.3662e-08
 2.5434e-06 3.7222e-06 1.0001e-06 2.2708e-06 5.8278e-06 2.4246e-06
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3232e-07
 2.8065e-07 9.9441e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.9939e-08 1.4888e-07
 5.2405e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 3.4443e-08 1.2135e-07 7.4753e-08
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7117e-08 1.0393e-07
 6.9518e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3349e-08
 9.3069e-08 6.3824e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 1.3708e-07 1.5687e-06 1.6374e-06
 2.0908e-07 7.7179e-07 1.4340e-06 1.3077e-06 1.2213e-06 1.1600e-06
 5.1467e-07 8.1610e-08 1.6081e-08 0.0000e+00 0.0000e+00 0.0000e+00
 3.4654e-08 1.0188e-07 1.0882e-07 8.9801e-08 2.2312e-08 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 4.1471e-08 1.1180e-07 4.4494e-08 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 1.5712e-07 1.9585e-06 2.1773e-06
 6.6420e-07 9.0411e-07 1.0710e-06 2.7643e-07 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 4.4347e-08 1.1906e-07 4.5747e-08 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 1.4491e-07 1.0214e-06 3.0722e-06 2.7094e-06 1.7066e-06 8.3016e-07
 2.9530e-07 4.6030e-09 0.0000e+00 0.0000e+00 0.0000e+00 9.6211e-07
 1.9451e-06 1.9404e-06 1.4695e-06 6.8324e-07 2.5396e-07 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.6166e-08 2.1654e-07
 7.7962e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.2618e-08 7.6513e-08
 1.2498e-08 0.0000e+00 0.0000e+00 0.0000e+00 4.0562e-08 1.4832e-07
 1.1081e-06 1.3844e-06 8.7289e-07 7.5524e-07 8.8188e-07 1.4589e-06
 9.3420e-07 9.2662e-08 2.8649e-08 0.0000e+00 0.0000e+00 4.3377e-07
 9.8010e-07 1.6816e-06 1.9708e-06 2.2548e-06 2.8366e-06 3.2907e-06
 3.7478e-06 5.0406e-06 6.3017e-06 7.5293e-06 8.9433e-06 9.8063e-06
 9.6138e-06 1.0976e-05 1.2548e-05 1.3172e-05 1.4346e-05 1.5915e-05
 1.8527e-05 2.0160e-05 2.0742e-05 2.5023e-05 2.8279e-05 2.8756e-05
 3.1240e-05 3.4350e-05 3.7447e-05 4.1591e-05 4.6415e-05 5.1654e-05
 5.7430e-05 6.3787e-05 7.0174e-05 7.6772e-05 8.3801e-05 9.1559e-05
 1.0035e-04 1.1195e-04 1.2414e-04 1.3686e-04 1.5002e-04 1.6474e-04
 1.8108e-04 2.0007e-04 2.2074e-04 2.4384e-04 2.6714e-04 2.9262e-04
 3.2495e-04 3.5323e-04 3.8060e-04 4.1676e-04 4.5402e-04]"
RGMS-VR03,5,right,True,1,0.1,21.345619,15.864069440218252,14.45679433417709,18.058546669294586,16.030637291981527,15.552947497847725,16.019210939247365,16.145273622025638,16.448490290664523,"[7.6743e-07 3.9083e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 3.8710e-07 5.9093e-07 1.6474e-07 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 4.1859e-07 1.0608e-06 4.3674e-07 0.0000e+00
 0.0000e+00 0.0000e+00 2.2381e-09 2.8055e-07 3.5205e-07 7.8573e-08
 0.0000e+00 0.0000e+00 0.0000e+00 1.8815e-07 6.6061e-07 1.9720e-06
 3.2421e-06 1.1662e-06 9.4210e-08 3.0935e-07 1.8887e-07 2.4344e-08
 2.3060e-07 3.3552e-07 3.2875e-07 1.6571e-07 2.9504e-08 2.2178e-07
 2.2073e-07 2.9327e-08 3.1954e-06 6.8239e-06 9.7798e-06 1.1152e-05
 1.1191e-05 1.4449e-05 1.8508e-05 2.3896e-05 2.6153e-05 2.6083e-05
 2.9098e-05 3.5186e-05 4.8622e-05 5.8114e-05 6.5257e-05 7.8653e-05
 9.4891e-05 1.1676e-04 1.3999e-04 1.6409e-04 2.0168e-04 2.4045e-04
 2.8113e-04 3.2530e-04 3.6948e-04 4.1438e-04 4.6141e-04 5.1258e-04
 5.5501e-04 5.9128e-04 6.0975e-04 6.2595e-04 6.3964e-04 6.3630e-04
 6.2844e-04 6.1402e-04 5.9415e-04 5.7046e-04 5.3974e-04 5.0838e-04
 4.7495e-04 4.4441e-04 4.1653e-04 3.7844e-04 3.4293e-04 3.1190e-04
 2.8612e-04 2.6328e-04 2.4150e-04 2.2178e-04 2.0484e-04 1.8829e-04
 1.7225e-04 1.5914e-04 1.4657e-04 1.3450e-04 1.2913e-04 1.2479e-04
 1.1627e-04 1.0839e-04 1.0106e-04 9.6262e-05 9.1375e-05 8.5093e-05
 8.3005e-05 8.3918e-05 8.0737e-05 7.7428e-05 7.4377e-05 7.4209e-05
 7.5568e-05 7.5900e-05 7.6081e-05 7.5988e-05 8.0104e-05 8.5620e-05
 8.9627e-05 9.4280e-05 9.9736e-05 1.0542e-04 1.1260e-04 1.2664e-04
 1.3831e-04 1.4782e-04 1.5809e-04 1.7061e-04 1.8967e-04 2.0684e-04
 2.2296e-04 2.4575e-04 2.7008e-04 2.9644e-04 3.2135e-04 3.4515e-04
 3.6571e-04 3.8774e-04 4.1170e-04 4.2840e-04 4.4272e-04 4.5308e-04
 4.5756e-04 4.5749e-04 4.5399e-04 4.4877e-04 4.3993e-04 4.2889e-04
 4.1701e-04 4.0959e-04 3.9895e-04 3.8371e-04 3.7423e-04 3.6679e-04
 3.6118e-04 3.5377e-04 3.4479e-04 3.4225e-04 3.3801e-04 3.2725e-04
 3.2127e-04 3.1787e-04 3.1054e-04 3.0267e-04 2.9400e-04 2.8446e-04
 2.7448e-04 2.6233e-04 2.5031e-04 2.3845e-04 2.2604e-04 2.1368e-04
 2.0144e-04 1.8942e-04 1.7759e-04 1.6688e-04 1.5664e-04 1.4698e-04
 1.3762e-04 1.2850e-04 1.2055e-04 1.1373e-04 1.0819e-04 1.0245e-04
 9.6879e-05 9.1850e-05 8.7322e-05 8.3176e-05 7.9598e-05 7.7639e-05
 7.8793e-05 7.5435e-05 7.0774e-05 7.1964e-05 7.2113e-05 7.1063e-05
 7.0157e-05 7.0300e-05 7.4237e-05 7.5579e-05 7.5106e-05 7.7441e-05
 7.9670e-05 8.1485e-05 8.4267e-05 8.7526e-05 9.1674e-05 9.6534e-05
 1.0219e-04 1.0838e-04 1.1552e-04 1.2554e-04 1.3310e-04 1.3911e-04
 1.4918e-04 1.5938e-04 1.6968e-04 1.7857e-04 1.8768e-04 2.0098e-04
 2.1337e-04 2.2496e-04 2.3614e-04 2.4716e-04 2.5777e-04 2.7010e-04
 2.8323e-04 2.9278e-04 3.0137e-04 3.0864e-04 3.1684e-04 3.2432e-04
 3.2818e-04 3.3079e-04 3.3256e-04 3.3671e-04 3.3682e-04 3.2982e-04
 3.2656e-04 3.2344e-04 3.1409e-04 3.0669e-04 3.0100e-04 2.9145e-04
 2.8092e-04 2.6907e-04 2.5928e-04 2.5046e-04 2.4244e-04 2.3413e-04
 2.2552e-04 2.1311e-04 2.0118e-04 1.9222e-04 1.8473e-04 1.7797e-04
 1.7093e-04 1.6444e-04 1.5862e-04 1.5013e-04 1.4176e-04 1.3570e-04
 1.3051e-04 1.2579e-04 1.1822e-04 1.1304e-04 1.1137e-04 1.0761e-04
 1.0362e-04 1.0074e-04 9.6648e-05 9.1743e-05 9.1080e-05 8.9496e-05
 8.6423e-05 8.2454e-05 7.8528e-05 7.5847e-05 7.3860e-05 7.2368e-05
 6.9943e-05 6.7779e-05 6.6063e-05 6.3905e-05 6.1818e-05 6.0547e-05
 5.8714e-05 5.6484e-05 5.2018e-05 4.9221e-05 4.9117e-05 4.6668e-05
 4.4248e-05 4.4571e-05 4.2749e-05 3.9481e-05 3.9727e-05 3.8684e-05
 3.5749e-05 3.4741e-05 3.4099e-05 3.3126e-05 3.2782e-05 3.2796e-05
 3.1971e-05 3.0270e-05 2.7442e-05 2.6834e-05 2.6517e-05 2.5823e-05
 2.3618e-05 2.0902e-05 2.1804e-05 2.1352e-05 1.9421e-05 1.9167e-05
 1.8896e-05 1.8131e-05 1.7336e-05 1.6425e-05 1.5104e-05 1.3157e-05
 1.1376e-05 1.4244e-05 1.5036e-05 1.4073e-05 1.0899e-05 9.3075e-06
 1.0250e-05 1.2138e-05 1.3350e-05 1.1307e-05 1.0796e-05 1.1093e-05
 9.8758e-06 9.4062e-06 9.7982e-06 1.0802e-05 1.1068e-05 9.4021e-06
 8.6426e-06 8.2877e-06 8.2118e-06 8.3544e-06 8.6740e-06 8.5547e-06
 8.3717e-06 8.1101e-06 8.6902e-06 9.2747e-06 9.2295e-06 9.2578e-06
 9.4012e-06 1.0445e-05 1.0904e-05 1.0780e-05 1.2873e-05 1.4466e-05
 1.4792e-05 1.5769e-05 1.7050e-05 1.8793e-05 1.8883e-05 1.8128e-05
 1.9760e-05 2.2358e-05 2.6009e-05 2.6201e-05 2.7462e-05 3.1459e-05
 3.4513e-05 3.7356e-05 4.0396e-05 4.3567e-05 4.7083e-05 5.4291e-05
 5.9520e-05 6.2688e-05 6.7640e-05 7.4961e-05 8.6394e-05 9.4528e-05
 1.0217e-04 1.1105e-04 1.2343e-04 1.3785e-04 1.5163e-04 1.6625e-04
 1.8175e-04 2.0098e-04 2.2077e-04 2.4084e-04 2.6369e-04 2.8884e-04
 3.1895e-04 3.4873e-04 3.7882e-04 4.1273e-04 4.5087e-04]"
RGMS-VR03,5,right,True,1,0.2,21.345607299999998,29.919272555088497,27.626981982428525,33.92042853320528,30.075932350637295,29.403353119654554,30.04386973933424,30.334616709308573,30.840526777976525,"[0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0257e-06
 1.4756e-06 3.8807e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9166e-07 7.0927e-07
 4.8645e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6453e-07 7.3764e-07
 4.0316e-06 4.1136e-06 6.5222e-07 7.7341e-06 1.5472e-05 1.4261e-05
 1.2542e-05 1.0340e-05 1.3679e-05 1.8115e-05 2.2871e-05 2.5367e-05
 2.5955e-05 2.9127e-05 3.2791e-05 3.7025e-05 4.1248e-05 4.5407e-05
 5.6254e-05 6.8848e-05 8.4978e-05 1.0115e-04 1.1721e-04 1.4757e-04
 1.7873e-04 2.1090e-04 2.5562e-04 3.0665e-04 3.7876e-04 4.5092e-04
 5.2320e-04 6.0891e-04 6.9699e-04 7.8628e-04 8.7139e-04 9.5392e-04
 1.0302e-03 1.0994e-03 1.1467e-03 1.1832e-03 1.2084e-03 1.2051e-03
 1.1919e-03 1.1583e-03 1.1177e-03 1.0722e-03 1.0212e-03 9.6641e-04
 8.9821e-04 8.3104e-04 7.6634e-04 7.0097e-04 6.4067e-04 5.8784e-04
 5.3896e-04 4.9289e-04 4.5263e-04 4.1445e-04 3.7850e-04 3.5162e-04
 3.2813e-04 3.0440e-04 2.8047e-04 2.5597e-04 2.4299e-04 2.3202e-04
 2.1468e-04 2.0010e-04 1.8804e-04 1.7914e-04 1.7068e-04 1.6249e-04
 1.5528e-04 1.4883e-04 1.4640e-04 1.4355e-04 1.3898e-04 1.3791e-04
 1.3874e-04 1.4167e-04 1.4421e-04 1.4602e-04 1.4995e-04 1.5515e-04
 1.6523e-04 1.7558e-04 1.8626e-04 1.9889e-04 2.1314e-04 2.3252e-04
 2.5344e-04 2.7559e-04 2.9693e-04 3.2137e-04 3.5558e-04 3.9207e-04
 4.3033e-04 4.7249e-04 5.1562e-04 5.5928e-04 6.0521e-04 6.5116e-04
 6.9288e-04 7.3288e-04 7.7109e-04 8.0345e-04 8.3185e-04 8.4774e-04
 8.5662e-04 8.6006e-04 8.5237e-04 8.4000e-04 8.1826e-04 8.0160e-04
 7.8703e-04 7.6181e-04 7.4037e-04 7.2441e-04 7.0563e-04 6.8765e-04
 6.7693e-04 6.6282e-04 6.4569e-04 6.3433e-04 6.2315e-04 6.1066e-04
 5.9928e-04 5.8856e-04 5.7719e-04 5.6481e-04 5.5093e-04 5.2892e-04
 5.0591e-04 4.9017e-04 4.6984e-04 4.4507e-04 4.2235e-04 4.0040e-04
 3.7939e-04 3.5501e-04 3.2867e-04 3.0951e-04 2.9051e-04 2.7109e-04
 2.5506e-04 2.3987e-04 2.2049e-04 2.0668e-04 1.9922e-04 1.8726e-04
 1.7550e-04 1.6708e-04 1.6082e-04 1.5610e-04 1.4964e-04 1.4320e-04
 1.3686e-04 1.3401e-04 1.3242e-04 1.2878e-04 1.2710e-04 1.2770e-04
 1.2742e-04 1.2745e-04 1.2924e-04 1.3110e-04 1.3300e-04 1.3825e-04
 1.4377e-04 1.4961e-04 1.5783e-04 1.6673e-04 1.7330e-04 1.8336e-04
 1.9728e-04 2.0885e-04 2.2047e-04 2.3370e-04 2.4887e-04 2.6533e-04
 2.8624e-04 3.0772e-04 3.3000e-04 3.5076e-04 3.7086e-04 3.8954e-04
 4.1070e-04 4.3425e-04 4.5777e-04 4.8213e-04 5.0841e-04 5.2903e-04
 5.4719e-04 5.6840e-04 5.8857e-04 6.0720e-04 6.2459e-04 6.4004e-04
 6.4892e-04 6.5691e-04 6.6437e-04 6.6165e-04 6.5787e-04 6.5257e-04
 6.4305e-04 6.3154e-04 6.1726e-04 6.0235e-04 5.8683e-04 5.7127e-04
 5.5373e-04 5.3180e-04 5.1301e-04 4.9516e-04 4.7308e-04 4.5336e-04
 4.3626e-04 4.1743e-04 3.9917e-04 3.8327e-04 3.6546e-04 3.4675e-04
 3.3288e-04 3.1863e-04 3.0381e-04 2.9078e-04 2.7749e-04 2.6207e-04
 2.5073e-04 2.4182e-04 2.3087e-04 2.2231e-04 2.1725e-04 2.0708e-04
 1.9704e-04 1.9257e-04 1.8586e-04 1.7761e-04 1.7369e-04 1.6954e-04
 1.6499e-04 1.5898e-04 1.5248e-04 1.4557e-04 1.4070e-04 1.3728e-04
 1.3592e-04 1.3284e-04 1.2692e-04 1.2071e-04 1.1498e-04 1.1165e-04
 1.0877e-04 1.0621e-04 1.0160e-04 9.7614e-05 9.4677e-05 9.1248e-05
 8.7796e-05 8.4796e-05 8.1515e-05 7.8049e-05 7.8689e-05 7.6863e-05
 7.1417e-05 6.6412e-05 6.2259e-05 6.0756e-05 5.8399e-05 5.5539e-05
 5.2691e-05 5.1172e-05 5.1360e-05 4.7869e-05 4.4667e-05 4.4387e-05
 4.3786e-05 4.2892e-05 4.0201e-05 3.6701e-05 3.2323e-05 3.2906e-05
 3.3338e-05 3.2100e-05 3.0539e-05 2.8706e-05 2.6210e-05 2.5579e-05
 2.5836e-05 2.5035e-05 2.4870e-05 2.5242e-05 2.4525e-05 2.2333e-05
 1.7887e-05 1.7596e-05 1.8216e-05 1.8481e-05 1.8812e-05 1.9125e-05
 1.8354e-05 1.7532e-05 1.6649e-05 1.5635e-05 1.4587e-05 1.3499e-05
 1.2944e-05 1.2672e-05 1.2845e-05 1.2889e-05 1.2825e-05 1.3064e-05
 1.2887e-05 1.2048e-05 1.0708e-05 9.9806e-06 1.1668e-05 1.2422e-05
 1.2664e-05 1.2683e-05 1.3891e-05 1.6283e-05 1.5880e-05 1.5337e-05
 1.4952e-05 1.6923e-05 1.9105e-05 1.9425e-05 1.9929e-05 2.0701e-05
 2.4117e-05 2.5576e-05 2.4926e-05 2.6805e-05 2.9465e-05 3.3132e-05
 3.5647e-05 3.8375e-05 4.3281e-05 4.5584e-05 4.6720e-05 5.3365e-05
 5.8789e-05 6.2948e-05 7.1678e-05 7.9985e-05 8.6897e-05 9.4705e-05
 1.0298e-04 1.1186e-04 1.2226e-04 1.3397e-04 1.4978e-04 1.6568e-04
 1.8171e-04 2.0251e-04 2.2294e-04 2.4183e-04 2.6706e-04 2.9342e-04
 3.1780e-04 3.4672e-04 3.7833e-04 4.1356e-04 4.5157e-04]"
RGMS-VR03,5,right,True,1,0.3,15.026305000000008,45.54542348696021,42.11064378526286,51.10181487822574,45.53288318046952,44.77452924822224,45.638394455902656,45.69868157987691,46.758510212446126,"[8.3548e-07 3.9083e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 1.0004e-07 4.4142e-07 7.6331e-07 1.0704e-06 4.3674e-07 0.0000e+00
 0.0000e+00 0.0000e+00 2.2381e-09 2.8055e-07 3.5205e-07 7.8573e-08
 0.0000e+00 0.0000e+00 0.0000e+00 1.3170e-06 4.6243e-06 3.0028e-06
 5.4994e-07 7.3043e-06 1.1094e-05 1.1085e-05 5.8550e-06 9.9810e-07
 9.4547e-06 1.4692e-05 1.6383e-05 1.4765e-05 1.3807e-05 2.0490e-05
 1.9510e-05 1.0994e-05 1.9118e-05 2.8248e-05 2.8810e-05 3.2356e-05
 3.8352e-05 4.0854e-05 4.3039e-05 4.5707e-05 5.9058e-05 8.0066e-05
 9.2995e-05 1.0737e-04 1.2751e-04 1.5034e-04 1.7454e-04 2.1636e-04
 2.6642e-04 3.3281e-04 4.0316e-04 4.7588e-04 5.8155e-04 6.8820e-04
 7.9646e-04 9.1682e-04 1.0398e-03 1.1845e-03 1.3177e-03 1.4406e-03
 1.5452e-03 1.6400e-03 1.7197e-03 1.7761e-03 1.8086e-03 1.8099e-03
 1.7967e-03 1.7456e-03 1.6829e-03 1.6123e-03 1.5265e-03 1.4401e-03
 1.3498e-03 1.2498e-03 1.1466e-03 1.0527e-03 9.6613e-04 8.8953e-04
 8.1764e-04 7.4931e-04 6.8774e-04 6.2874e-04 5.7219e-04 5.2956e-04
 4.9190e-04 4.5123e-04 4.1626e-04 3.8783e-04 3.6192e-04 3.3826e-04
 3.2029e-04 3.0166e-04 2.8229e-04 2.7040e-04 2.5884e-04 2.4506e-04
 2.3374e-04 2.2427e-04 2.1992e-04 2.1620e-04 2.1306e-04 2.1098e-04
 2.0950e-04 2.1239e-04 2.1617e-04 2.2136e-04 2.3250e-04 2.4576e-04
 2.5822e-04 2.7141e-04 2.8550e-04 3.0195e-04 3.2208e-04 3.5677e-04
 3.8962e-04 4.2064e-04 4.5421e-04 4.9227e-04 5.4312e-04 5.9746e-04
 6.5451e-04 7.1443e-04 7.8054e-04 8.5621e-04 9.2205e-04 9.8430e-04
 1.0550e-03 1.1213e-03 1.1828e-03 1.2327e-03 1.2756e-03 1.2973e-03
 1.3063e-03 1.3053e-03 1.3069e-03 1.2978e-03 1.2631e-03 1.2333e-03
 1.2056e-03 1.1684e-03 1.1347e-03 1.1059e-03 1.0762e-03 1.0472e-03
 1.0209e-03 9.9695e-04 9.7496e-04 9.5955e-04 9.4307e-04 9.2166e-04
 9.0697e-04 8.9588e-04 8.7394e-04 8.5139e-04 8.2799e-04 7.9902e-04
 7.6935e-04 7.4316e-04 7.1203e-04 6.7615e-04 6.3831e-04 6.0161e-04
 5.6852e-04 5.3205e-04 4.9369e-04 4.6309e-04 4.3341e-04 4.0441e-04
 3.8184e-04 3.6132e-04 3.3706e-04 3.1314e-04 2.8971e-04 2.7826e-04
 2.6797e-04 2.5295e-04 2.4047e-04 2.2984e-04 2.2127e-04 2.1411e-04
 2.0940e-04 2.0546e-04 2.0168e-04 1.9575e-04 1.9232e-04 1.9178e-04
 1.9269e-04 1.9429e-04 1.9741e-04 1.9928e-04 2.0027e-04 2.0746e-04
 2.1551e-04 2.2480e-04 2.3598e-04 2.4802e-04 2.6117e-04 2.7734e-04
 2.9685e-04 3.1726e-04 3.3836e-04 3.6142e-04 3.8499e-04 4.0896e-04
 4.4062e-04 4.7091e-04 4.9864e-04 5.3038e-04 5.6392e-04 5.9997e-04
 6.3288e-04 6.6296e-04 7.0112e-04 7.3944e-04 7.7557e-04 8.1249e-04
 8.5005e-04 8.8533e-04 9.1570e-04 9.3940e-04 9.5925e-04 9.7754e-04
 9.9290e-04 1.0039e-03 1.0120e-03 1.0154e-03 1.0147e-03 1.0067e-03
 9.9221e-04 9.7513e-04 9.5675e-04 9.3628e-04 9.1388e-04 8.8299e-04
 8.5339e-04 8.2871e-04 7.9773e-04 7.6421e-04 7.3302e-04 7.0191e-04
 6.7096e-04 6.4040e-04 6.1053e-04 5.8234e-04 5.5715e-04 5.3326e-04
 5.0533e-04 4.8153e-04 4.6302e-04 4.4258e-04 4.2192e-04 4.0183e-04
 3.8693e-04 3.7509e-04 3.5804e-04 3.4344e-04 3.3243e-04 3.1808e-04
 3.0386e-04 2.9347e-04 2.8183e-04 2.6934e-04 2.6484e-04 2.5770e-04
 2.4636e-04 2.4021e-04 2.3486e-04 2.2674e-04 2.1760e-04 2.0773e-04
 2.0009e-04 1.9223e-04 1.8397e-04 1.7966e-04 1.7648e-04 1.7334e-04
 1.6766e-04 1.6019e-04 1.5485e-04 1.4988e-04 1.4546e-04 1.4059e-04
 1.3516e-04 1.2782e-04 1.2238e-04 1.1821e-04 1.1207e-04 1.0791e-04
 1.0660e-04 1.0273e-04 9.7998e-05 9.2236e-05 8.8648e-05 8.6329e-05
 8.1770e-05 7.8119e-05 7.5634e-05 7.4252e-05 7.2147e-05 6.7247e-05
 6.4045e-05 6.1759e-05 5.9906e-05 5.8570e-05 5.7799e-05 5.2042e-05
 4.7405e-05 4.6505e-05 4.7442e-05 4.7623e-05 4.2729e-05 4.0202e-05
 3.8969e-05 3.7866e-05 3.5598e-05 3.2350e-05 3.1790e-05 3.1367e-05
 3.1059e-05 2.9066e-05 2.6993e-05 2.6110e-05 2.5935e-05 2.5908e-05
 2.0785e-05 1.9716e-05 2.3320e-05 2.2387e-05 2.0711e-05 1.8725e-05
 1.8734e-05 1.9340e-05 1.8673e-05 1.7214e-05 1.5107e-05 1.9436e-05
 2.1389e-05 1.9331e-05 1.9426e-05 1.9802e-05 1.9458e-05 1.9511e-05
 1.9610e-05 1.7773e-05 1.7473e-05 1.8706e-05 1.8758e-05 1.9228e-05
 2.0654e-05 1.9418e-05 1.8917e-05 2.4369e-05 2.4548e-05 2.1924e-05
 2.5079e-05 2.6758e-05 2.6846e-05 2.8803e-05 3.1982e-05 3.7153e-05
 3.8830e-05 3.9697e-05 4.1504e-05 4.5270e-05 5.0244e-05 5.5434e-05
 5.9631e-05 6.2799e-05 6.8876e-05 7.6371e-05 8.6077e-05 9.4246e-05
 1.0276e-04 1.1378e-04 1.2472e-04 1.3595e-04 1.4972e-04 1.6482e-04
 1.8131e-04 2.0002e-04 2.2052e-04 2.4370e-04 2.6605e-04 2.8965e-04
 3.1781e-04 3.4657e-04 3.7590e-04 4.0764e-04 4.4617e-04]"
